Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Mobile365,https://www.crunchbase.com/organization/mobile365-fka-inphomatch,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Chantilly, Virginia, United States",Mobile 365 provides mobile interoperability messaging services in India.,"108,665",1999,Active,,For Profit,,,,,,,1,,2,M&A,"Mar 15, 2004","$13,500,000",Series D,"$13,500,000",Series D,"$23,000,000","$23,000,000",,5,Was Acquired,Private,,,,
Hands-On Mobile,https://www.crunchbase.com/organization/hands-on-mobile,"Content and Publishing, Gaming, Media and Entertainment, Mobile","San Francisco, California, United States","Hands-On Mobile publishes lifestyle, games and personalization products for the mobile handset marketplace.","110,121",2001,Active,,For Profit,,,,,,,1,51-100,3,M&A,"Oct 5, 2005","$30,000,000",Series C,"$30,000,000",Series C,"$114,000,000","$114,000,000",,6,"Made Acquisitions, Was Acquired",Private,,,,
Liquid Machines,https://www.crunchbase.com/organization/liquid-machines,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Professional Services, Software","Waltham, Massachusetts, United States",Liquid Machines develops enterprise rights management software that controls electronic corporate assets.,"119,824",2001,Active,,,,,,,,,,11-50,4,M&A,"Feb 4, 2008","$10,000,000",Series D,"$10,000,000",Series D,"$27,100,000","$27,100,000",1,5,"Made Acquisitions, Was Acquired",Private,,,,
Tacit Software,https://www.crunchbase.com/organization/tacit-software,Software,"Palo Alto, California, United States","Tacit Software operates illumio which is a productivity tool for monitoring news, blogs, and wikis and sharing knowledge with others.","120,414","May 1, 1997",Active,,,,,,,,,,11-50,5,M&A,"Jul 8, 2008",,Debt Financing,"$7,000,000",Venture - Series Unknown,"$26,954,000","$26,954,000",1,6,Was Acquired,Private,,,,
MailFrontier,https://www.crunchbase.com/organization/mailfrontier,"Information Technology, Internet Services, Messaging and Telecommunications, Professional Services","Palo Alto, California, United States",MailFrontier provides email and compliance solutions for organizations to protect emails from dangerous and costly email threats.,"121,357",2002,Active,,For Profit,,,,,,,,11-50,3,M&A,"Feb 13, 2006","$1,500,000",Series C,"$1,500,000",Series C,"$16,500,000","$16,500,000",3,3,Was Acquired,Private,,,,
Achex,https://www.crunchbase.com/organization/achex,"Financial Services, Internet Services, Payments, Privacy and Security","South San Francisco, California, United States",Achex enables secure internet payments for buyers and sellers.,"124,911",1999,Active,,For Profit,,,,,,,2,,1,M&A,"Jun 23, 2000","$18,000,000",Series A,"$18,000,000",Series A,"$18,000,000","$18,000,000",3,3,Was Acquired,Private,,,,
Integrated Media Measurement (IMMI),https://www.crunchbase.com/organization/immi,"Advertising, Consumer Electronics, Hardware, Information Technology, Mobile, Sales and Marketing","San Mateo, California, United States",IMMI is a mobile-based ad tracking and research firm collecting information on cross-platform media usage by detecting audio signatures.,"127,192","Dec 1, 2003",Active,,For Profit,,,,,,,,11-50,2,M&A,"Apr 1, 2015",,Venture - Series Unknown,,Venture - Series Unknown,"$25,000,000","$25,000,000",1,4,Was Acquired,Private,,,,
ViaFone,https://www.crunchbase.com/organization/viafone,"Hardware, Mobile, Sales and Marketing, Software","Wichita, Kansas, United States",ViaFone is a technology provider that specializes in loyalty solutions and engagement services for companies.,"140,030",Sep 1999,Active,,For Profit,,,,,,,1,11-50,2,M&A,"Dec 4, 2000","$23,000,000",Series B,"$23,000,000",Series B,"$33,700,000","$33,700,000",3,5,"Made Acquisitions, Was Acquired",Private,,,,
Gingersoft Media,https://www.crunchbase.com/organization/gingersoft-media,"Advertising, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing","Bangalore, Karnataka, India",Gingersoft Media helps users get the latest discount coupons based on their interests.,"148,488",2007,Closed,2014,,,,,,,,2,11-50,1,M&A,"Nov 29, 2007","$2,000,000",Venture - Series Unknown,"$2,000,000",Venture - Series Unknown,"$2,000,000","$2,000,000",1,2,Was Acquired,Private,,,,
Lumenos,https://www.crunchbase.com/organization/lumenos,Health Care,"Alexandria, Virginia, United States",Lumenos(R) is a pioneer in the Consumer-Driven Health Care industry.,"152,125",1999,Active,,For Profit,,,,,,,,,3,M&A,"Jul 18, 2003","$10,020,000",Venture - Series Unknown,"$10,020,000",Venture - Series Unknown,"$53,020,000","$53,020,000",,7,Was Acquired,Private,,,,
seeUthere.com,https://www.crunchbase.com/organization/seeuthere-com,"Events, Media and Entertainment","Santa Clara, California, United States","seeUthere.com is an online event promotion and registration service based in San Francisco, California.","152,853",1998,Active,,For Profit,,,,,,,,11-50,1,M&A,"Jul 11, 2000","$30,000,000",Venture - Series Unknown,"$30,000,000",Venture - Series Unknown,"$30,000,000","$30,000,000",1,4,Was Acquired,Private,,,,
SafeView,https://www.crunchbase.com/organization/safeview,"Apps, Consumer Electronics, Hardware, Manufacturing, Software","Santa Clara, California, United States","Safe-View, Inc manufactures Holographic Imaging technology developed by PNNL.","161,049",2002,Active,,For Profit,,,,,,,,,2,M&A,"Jul 20, 2004","$16,000,000",Series B,"$16,000,000",Series B,"$22,000,000","$22,000,000",2,6,Was Acquired,Private,,,,
Cognigine,https://www.crunchbase.com/organization/cognigine,"Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering","Fremont, California, United States",Cognigine is a semiconductor company focused on communications processors for broadband and optical networking applications.,"162,598",1998,Active,,For Profit,,,,,,,,,3,M&A,"Aug 13, 2001","$8,000,000",Series B,"$8,000,000",Series B,"$22,500,000","$22,500,000",2,7,Was Acquired,Private,,,,
RedKite Financial Markets,https://www.crunchbase.com/organization/redkite-financial-markets,Financial Services,"London, England, United Kingdom",RedKite Financial Markets provides financial institutions with tools and resources to better monitor their trading activities.,"165,911",2009,Active,,,,,,,,,2,11-50,2,M&A,"Feb 14, 2012",,Venture - Series Unknown,,Venture - Series Unknown,,,1,2,Was Acquired,Private,,,,
Vizional Technologies,https://www.crunchbase.com/organization/vizional-technologies,"Hardware, Software","Santa Monica, California, United States",Vizional Technologies offers supply chain management software that tracks the physical movement of inventory and assets in companies.,"181,683",1999,Active,,,,,,,,,,1-10,1,M&A,"Mar 1, 2005","$3,500,000",Series A,"$3,500,000",Series A,"$3,500,000","$3,500,000",2,2,"Made Acquisitions, Was Acquired",Private,,,,
Annuncio Software,https://www.crunchbase.com/organization/annuncio-software,"Data and Analytics, Design, Internet Services, Sales and Marketing","Mountain View, California, United States","Annuncio enables companies to market and merchandise effectively on the Internet — and to get back to the creative, fun side of work.","185,113",1997,Active,,For Profit,,,,,,,1,,2,M&A,"Aug 8, 2000","$36,000,000",Venture - Series Unknown,"$36,000,000",Venture - Series Unknown,"$51,000,000","$51,000,000",1,9,"Made Acquisitions, Was Acquired",Private,,,,
Sygate Technologies,https://www.crunchbase.com/organization/sygate-technologies,"Information Technology, Privacy and Security, Software","Fremont, California, United States","SyGate Technologies is a Fremont, Calif.-based provider of networking and security technologies.","193,134",1995,Active,,For Profit,,,,,,,,,2,M&A,"Mar 1, 2004","$12,380,000",Series E,"$12,380,000",Series E,"$29,880,000","$29,880,000",1,4,Was Acquired,Private,,,,
CenterPost Communications,https://www.crunchbase.com/organization/centerpost-communications,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Professional Services, Software","Chicago, Illinois, United States",CenterPost Communications is a leading provider of enterprise multi- channel solutions for automating communications.,"200,730",1999,Active,,For Profit,,,,,,,,,3,M&A,"Jul 8, 2003","$3,000,000",Series D,"$3,000,000",Series D,"$27,500,000","$27,500,000",3,7,Was Acquired,Private,,,,
Blue Titan,https://www.crunchbase.com/organization/blue-titan,"Real Estate, Software","San Francisco, California, United States","Blue Titan is a provider of ervice-oriented infrastructure that helps enterprise architects control, share, and scale applications.","202,594",2001,Active,,For Profit,,,,,,,1,1-10,3,M&A,"Sep 1, 2004","$4,000,000",Series C,"$4,000,000",Series C,"$7,649,000","$7,649,000",,3,Was Acquired,Private,,,,
ProcessClaims,https://www.crunchbase.com/organization/processclaims,"Information Technology, Software","Manhattan Beach, California, United States",ProcessClaims is the leading provider of software connectivity and business process solutions designed to boost productivity.,"208,092",Jan 2000,Active,,For Profit,,,,,,,,,2,M&A,"Jun 22, 2001","$4,000,000",Series C,"$4,000,000",Series C,"$4,000,000","$4,000,000",1,3,Was Acquired,Private,,,,
Planitax,https://www.crunchbase.com/organization/planitax,Financial Services,"Alameda, California, United States",Planitax provides corporate tax departments with corporate tax software and services enabling the management of data.,"222,069",1999,Active,,,,,,,,,,,3,M&A,"Jul 26, 2006","$5,000,000",Series C,"$5,000,000",Series C,"$17,500,000","$17,500,000",1,3,Was Acquired,Private,,,,
InfoImage,https://www.crunchbase.com/organization/infoimage,Software,"Phoenix, Arizona, United States",InfoImage Inc. provides software solutions that automate business processes.,"230,279",1992,Active,,For Profit,,,,,,,,,1,M&A,"Jun 16, 2000","$24,200,000",Venture - Series Unknown,"$24,200,000",Venture - Series Unknown,"$24,200,000","$24,200,000",1,4,Was Acquired,Private,,,,
OnVantage,https://www.crunchbase.com/organization/onvantage,"Commerce and Shopping, Sales and Marketing, Software","Santa Clara, California, United States",OnVantage provides corporate spend management and supplier marketing technology for the professional meetings and events market.,"231,422",2004,Active,,,,,,,,,,,1,M&A,"Jan 17, 2006","$18,000,000",Series B,"$18,000,000",Series B,"$18,000,000","$18,000,000",2,4,"Made Acquisitions, Was Acquired",Private,,,,
Pantero,https://www.crunchbase.com/organization/pantero,Software,"Waltham, Massachusetts, United States","Waltham, Mass.-based provider of data semantic integration technology.","264,564",2003,Active,,,,,,,,,,,1,M&A,"Jun 27, 2003","$4,000,000",Series A,"$4,000,000",Series A,"$4,000,000","$4,000,000",,3,Was Acquired,Private,,,,
AuctionRover,https://www.crunchbase.com/organization/auctionrover,"Commerce and Shopping, Community and Lifestyle, Internet Services","Mooresville, North Carolina, United States",AuctionRover.com is an interactive community related to on-line auctions.,"271,392",1999,Active,,For Profit,,,,,,,1,,1,M&A,"Oct 27, 1999",,Venture - Series Unknown,,Venture - Series Unknown,,,3,3,Was Acquired,Private,,,,
Troika Networks,https://www.crunchbase.com/organization/troika-networks,"Information Technology, Internet Services, Manufacturing","Westlake Village, California, United States","Troika Networks provides storage network data protection and management integrated solutions, hosting platforms, and enabling technologies.","271,717",1998,Active,,For Profit,,,,,,,,,3,M&A,"Jul 14, 2005","$14,400,000",Series B,"$14,400,000",Series B,"$68,400,000","$68,400,000",1,11,Was Acquired,Private,,,,
Saltare,https://www.crunchbase.com/organization/saltare,Data and Analytics,"San Mateo, California, United States","A company providing a Java-based, Web-centric software solution to link real-time supply chain information with decision-making tools","280,349",1998,Active,,For Profit,,,,,,,1,,1,M&A,"Feb 16, 2000","$11,000,000",Series B,"$11,000,000",Series B,"$11,000,000","$11,000,000",,3,Was Acquired,Private,,,,
"Yaga, Inc.",https://www.crunchbase.com/organization/yaga-inc,"Financial Services, Payments","San Francisco, California, United States","Yaga, Inc. develops an advanced payment platform that enables businesses to create new revenue streams.","284,831",2000,Active,,For Profit,,,,,,,1,1-10,1,M&A,"Jun 12, 2001","$15,200,000",Series B,"$15,200,000",Series B,"$15,200,000","$15,200,000",,4,"Made Acquisitions, Was Acquired",Private,,,,
Roving Planet,https://www.crunchbase.com/organization/roving-planet,"Consumer Electronics, Hardware, Information Technology, Privacy and Security","Westminster, Colorado, United States","Roving Planet provides network access control and management solutions for the enterprise, manufacturing, health, and education industries.","288,462",2001,Active,,For Profit,,,,,,,,11-50,5,M&A,"Jan 11, 2005","$6,000,000",Series C,"$6,000,000",Series C,"$20,139,000","$20,139,000",2,7,Was Acquired,Private,,,,
I-Cube,https://www.crunchbase.com/organization/i-cube-2,"Consumer Electronics, Hardware, Media and Entertainment","Campbell, California, United States",Develops integrated circuits for digital switching applications.,"299,467",1991,Active,,For Profit,,,,,,,,,2,M&A,"Jul 21, 1997","$6,000,000",Series C,"$6,000,000",Series C,"$10,000,000","$10,000,000",2,4,Was Acquired,Private,,,,
End2End Holdings,https://www.crunchbase.com/organization/end2end-holdings,"Hardware, Mobile","Aalborg, Nordjylland, Denmark",End2End is a provider of outsourced solutions for mobile data in Europe.,"300,841",1999,Active,,For Profit,,,,,,,,,4,M&A,"Oct 27, 2003","€10,500,000",Undisclosed,"€10,500,000",Undisclosed,"$162,504,681","$162,504,681",,5,"Made Acquisitions, Was Acquired",Private,,,,
Lightwave Microsystems Corporation,https://www.crunchbase.com/organization/lightwave-microsystems-corporation,Hardware,,"A San Jose, Calif.-based integrated circuit maker","336,690",1989,Active,,For Profit,,,,,,,,,1,M&A,"Nov 1, 2000","$75,000,000",Series E,"$75,000,000",Series E,"$75,000,000","$75,000,000",1,12,Was Acquired,Private,,,,
ReleaseNow,https://www.crunchbase.com/organization/releasenow,"Commerce and Shopping, Professional Services, Software","San Carlos, California, United States","ReleaseNow.com is the ""e-commerce department"" for vendors and resellers of software and other digital goods.","346,821","May 1, 1995",Active,,For Profit,,,,,,,,,1,M&A,"Jan 26, 2000","$20,000,000",Venture - Series Unknown,"$20,000,000",Venture - Series Unknown,"$20,000,000","$20,000,000",1,12,Was Acquired,Private,,,,
